# CSP logarithmically sampled (velscale=50.0)
# Wavelength, SSP_logage_04.00_z_0.0018, SSP_logage_07.50_z_0.0018, SSP_logage_09.00_z_0.0018, SSP_logage_04.00_z_0.0178, SSP_logage_07.50_z_0.0178, SSP_logage_09.00_z_0.0178
4.027110920096201426e+03 1.591421291232109070e-02 3.457730170339345932e-03 5.375749897211790085e-04 1.549898274242877960e-02 3.143451875075697899e-03 4.340558080002665520e-04
4.027782625914039272e+03 1.634072326123714447e-02 3.562911646440625191e-03 5.413549952208995819e-04 1.595790125429630280e-02 3.235424635931849480e-03 4.362159234005957842e-04
4.028454443769692261e+03 1.681130565702915192e-02 3.693359205499291420e-03 5.420364905148744583e-04 1.645712740719318390e-02 3.346423385664820671e-03 4.351804091129451990e-04
4.029126373681846417e+03 1.697125099599361420e-02 3.737206337973475456e-03 5.355062312446534634e-04 1.662317663431167603e-02 3.385806223377585411e-03 4.282791342120617628e-04
4.029798415669192764e+03 1.705852523446083069e-02 3.761090571060776711e-03 5.310322158038616180e-04 1.671141572296619415e-02 3.406557487323880196e-03 4.234384396113455296e-04
4.030470569750425966e+03 1.711754873394966125e-02 3.777106059715151787e-03 5.249808891676366329e-04 1.676322706043720245e-02 3.418139414861798286e-03 4.165935679338872433e-04
4.031142835944241597e+03 1.712203584611415863e-02 3.782584331929683685e-03 5.247981753200292587e-04 1.675073057413101196e-02 3.418323583900928497e-03 4.156352952122688293e-04
4.031815214269339776e+03 1.712299138307571411e-02 3.784533590078353882e-03 5.252756527625024319e-04 1.674026250839233398e-02 3.418955719098448753e-03 4.156942013651132584e-04
4.032487704744424263e+03 1.712004840373992920e-02 3.783632768318057060e-03 5.271722329780459404e-04 1.672159507870674133e-02 3.420874942094087601e-03 4.172276239842176437e-04
4.033160307388200636e+03 1.712788455188274384e-02 3.782525192946195602e-03 5.309988628141582012e-04 1.671195589005947113e-02 3.427278017625212669e-03 4.208980826660990715e-04
4.033833022219378108e+03 1.713713817298412323e-02 3.784652333706617355e-03 5.342138465493917465e-04 1.670977286994457245e-02 3.433309029787778854e-03 4.240194102749228477e-04
4.034505849256669535e+03 1.715637929737567902e-02 3.792139468714594841e-03 5.397366476245224476e-04 1.671343669295310974e-02 3.444485599175095558e-03 4.294283862691372633e-04
4.035178788518790498e+03 1.719981990754604340e-02 3.816513111814856529e-03 5.464373971335589886e-04 1.678106188774108887e-02 3.471473930403590202e-03 4.356850404292345047e-04
4.035851840024459307e+03 1.722970046103000641e-02 3.834478789940476418e-03 5.508040776476264000e-04 1.683237776160240173e-02 3.490985836833715439e-03 4.396371368784457445e-04
4.036525003792397001e+03 1.727237366139888763e-02 3.861509263515472412e-03 5.567623884417116642e-04 1.691115275025367737e-02 3.519935300573706627e-03 4.448784748092293739e-04
